CI;Commune;;;
51374;Mondement-Montgivroux;;;
51375;Montbré;;;
51376;Montgenost;;;
51378;Monthelon;;;
51379;Montigny-sur-Vesle;;;
51384;Morangis;;;
51387;Moslins;;;
51390;Moussy;;;
51392;Mutigny;;;
51393;Nanteuil-la-Forêt;;;
51396;Nesle-le-Repons;;;
51398;Neuville-aux-Larris;;;
51403;Nogent-l'Abbesse;;;
51410;Œuilly;;;
51411;Oger;;;
51413;Oiry;;;
51414;Olizy;;;
51416;Orbais-l'Abbaye;;;
51418;Ormes;;;
51421;Oyes;;;
51422;Pargny-lès-Reims;;;
51425;Passy-Grigny;;;
51429;Pévy;;;
51431;Pierry;;;
51437;Poilly;;;
51440;Pontfaverger-Moronvilliers;;;
51444;Pouillon;;;
51445;Pourcy;;;
51448;Prouilly;;;
51450;Puisieulx;;;
51454;Reims;;;
51457;Reuil;;;
51461;Rilly-la-Montagne;;;
51465;Romery;;;
51466;Romigny;;;
51468;Rosnay;;;
51471;Sacy;;;
51472;Saint-Amand-sur-Fion;;;
51479;Saint-Euphraise-et-Clairizet;;;
51480;Sainte-Gemme;;;
51484;Saint-Gilles;;;
51496;Saint-Lumier-en-Champagne;;;
51518;Saint-Thierry;;;
51523;Sarcy;;;
51526;Saudoy;;;
51527;Savigny-sur-Ardres;;;
51529;Selles;;;
51532;Sermiers;;;
51534;Serzy-et-Prin;;;
51535;Sézanne;;;
51536;Sillery;;;
51558;Soulières;;;
51562;Taissy;;;
51563;Talus-Saint-Prix;;;
51564;Val de Livre;;;
51568;Thil;;;
51576;Tours-sur-Marne;;;
51577;Tramery;;;
51580;Trépail;;;
51581;Treslon;;;
51582;Trigny;;;
51584;Trois-Puits;;;
51585;Troissy;;;
51586;Unchair;;;
51589;Vanault-le-Châtel;;;
51591;Vandeuil;;;
51592;Vandières;;;
51597;Vauciennes;;;
51599;Vaudemange;;;
51601;Vavray-le-Grand;;;
51602;Vavray-le-Petit;;;
51605;Venteuil;;;
51609;Verneuil;;;
51611;Vert-Toulon;;;
51612;Blancs-Coteaux;;;
51613;Verzenay;;;
51614;Verzy;;;
51622;Ville-Dommange;;;
51624;Ville-en-Tardenois;;;
51627;Villeneuve-Renneville-Chevigny;;;
51629;Villers-Allerand;;;
51631;Villers-aux-Nœuds;;;
51633;Villers-Franqueux;;;
51636;Villers-Marmery;;;
51637;Villers-sous-Châtillon;;;
51641;Villevenard;;;
51643;Vinay;;;
51644;Vincelles;;;
51645;Vindey;;;
51647;Vitry-en-Perthois;;;
51651;Voipreux;;;
51657;Vrigny;;;
52018;Argentolles;;;
52426;Rizaucourt-Buchey;;;
77117;Citry;;;
77331;Nanteuil-sur-Marne;;;
77397;Saâcy-sur-Marne;;;
